user_id,song_id,play_count,last_played
1,101,5,2023-10-01
1,102,3,2023-10-02
1,103,2,2023-10-03
1,104,6,2023-10-03
1,106,4,2023-10-02
2,101,11,2023-10-03
2,104,8,2023-10-03
2,105,1,2023-10-03
3,103,3,2023-10-01
3,104,4,2023-10-02
3,105,1,2023-10-03
3,106,7,2023-10-01
3,107,3,2023-10-02
3,108,2,2023-10-03
4,101,8,2023-10-08
4,104,9,2023-10-09
4,109,7,2023-10-10
4,110,6,2023-10-11
4,111,5,2023-10-12
4,112,5,2023-10-13
5,103,8,2023-10-09
5,106,9,2023-10-10
5,113,6,2023-10-11
5,114,5,2023-10-12
5,115,5,2023-10-13
5,116,5,2023-10-04
6,101,2,2023-10-14
6,102,10,2023-10-10
6,105,9,2023-10-11
6,107,8,2023-10-12
6,108,7,2023-10-13
6,117,5,2023-10-04
6,118,3,2023-10-05
7,101,10,2023-10-11
7,104,8,2023-10-12
7,109,7,2023-10-13
7,110,6,2023-10-04
7,111,4,2023-10-05
7,112,5,2023-10-06
8,103,10,2023-10-12
8,106,8,2023-10-13
8,113,7,2023-10-04
8,114,7,2023-10-05
8,115,5,2023-10-06
8,116,4,2023-10-07
9,101,2,2023-10-14
9,102,9,2023-10-13
9,105,7,2023-10-04
9,107,6,2023-10-05
9,108,6,2023-10-06
9,117,6,2023-10-07
9,118,3,2023-10-08
10,101,10,2023-10-04
10,104,9,2023-10-05
10,109,6,2023-10-06
10,110,6,2023-10-07
10,111,4,2023-10-08
10,112,5,2023-10-09
11,103,10,2023-10-05
11,106,8,2023-10-06
11,113,6,2023-10-07
11,114,7,2023-10-08
11,115,5,2023-10-09
11,116,5,2023-10-10
12,101,2,2023-10-14
12,102,10,2023-10-06
12,105,9,2023-10-07
12,107,8,2023-10-08
12,108,5,2023-10-09
12,117,5,2023-10-10
12,118,4,2023-10-11
13,101,9,2023-10-07
13,104,7,2023-10-08
13,109,7,2023-10-09
13,110,5,2023-10-10
13,111,6,2023-10-11
13,112,5,2023-10-12
