rank,song_id,score,origin,user_id
1,115,1.8432843714092888,personalizado,1
2,113,1.840010231569232,personalizado,1
3,116,1.8314994017152526,personalizado,1
4,110,1.6610779798148385,personalizado,1
5,112,1.65931509657515,personalizado,1
1,110,1.6610779798148385,personalizado,2
2,112,1.65931509657515,personalizado,2
3,109,1.6506355491711915,personalizado,2
4,118,0.9870747120447589,personalizado,2
5,107,0.9845753327452209,personalizado,2
1,102,2.8901098623247305,personalizado,3
2,118,1.9519456145760319,personalizado,3
3,115,1.8432843714092888,personalizado,3
4,113,1.840010231569232,personalizado,3
5,116,1.8314994017152526,personalizado,3
1,106,36.0,popularidade_sem_candidatos,4
2,103,33.0,popularidade_sem_candidatos,4
3,102,32.0,popularidade_sem_candidatos,4
4,105,27.0,popularidade_sem_candidatos,4
5,107,25.0,popularidade_sem_candidatos,4
1,101,59.0,popularidade_sem_candidatos,5
2,104,51.0,popularidade_sem_candidatos,5
3,102,32.0,popularidade_sem_candidatos,5
4,105,27.0,popularidade_sem_candidatos,5
5,109,27.0,popularidade_sem_candidatos,5
