rank,song_id,score,origin,user_id
1,110,3.1053636060232037,personalizado,1
2,112,3.1017231636067306,personalizado,1
3,109,3.0854754384512972,personalizado,1
4,111,3.023164839794907,personalizado,1
5,115,2.4704821031729516,personalizado,1
1,110,3.8866709237541937,personalizado,2
2,112,3.8831894396881395,personalizado,2
3,109,3.8629205965137707,personalizado,2
4,111,3.7850757401475876,personalizado,2
5,102,1.1526607492599665,personalizado,2
1,115,3.1597418349955837,personalizado,3
2,113,3.152266654441092,personalizado,3
3,116,3.1420622228628865,personalizado,3
4,114,3.1302271294173236,personalizado,3
5,118,3.0629122322415636,personalizado,3
1,102,0.41996617896745797,personalizado,4
2,106,0.3658098305198584,personalizado,4
1,104,0.52604484602177,personalizado,5
2,102,0.0,personalizado,5
