user_id,song_id,play_count,last_played,data_origin
1,101,5,2023-10-01,original
1,102,3,2023-10-02,original
1,103,2,2023-10-03,original
2,101,4,2023-10-01,original
2,104,6,2023-10-02,original
2,105,1,2023-10-03,original
3,106,7,2023-10-01,original
3,107,3,2023-10-02,original
3,108,2,2023-10-03,original
1,104,6,2023-10-03,original
2,101,7,2023-10-03,original
3,103,3,2023-10-01,original
3,104,4,2023-10-02,original
1,106,4,2023-10-02,original
2,104,2,2023-10-03,original
3,105,1,2023-10-03,original
4,101,8,2023-10-08,synthetic
4,104,9,2023-10-09,synthetic
4,109,7,2023-10-10,synthetic
4,110,6,2023-10-11,synthetic
4,111,5,2023-10-12,synthetic
4,112,5,2023-10-13,synthetic
5,103,8,2023-10-09,synthetic
5,106,9,2023-10-10,synthetic
5,113,6,2023-10-11,synthetic
5,114,5,2023-10-12,synthetic
5,115,5,2023-10-13,synthetic
5,116,5,2023-10-04,synthetic
6,102,10,2023-10-10,synthetic
6,105,9,2023-10-11,synthetic
6,107,8,2023-10-12,synthetic
6,108,7,2023-10-13,synthetic
6,117,5,2023-10-04,synthetic
6,118,3,2023-10-05,synthetic
6,101,2,2023-10-14,synthetic
7,101,10,2023-10-11,synthetic
7,104,8,2023-10-12,synthetic
7,109,7,2023-10-13,synthetic
7,110,6,2023-10-04,synthetic
7,111,4,2023-10-05,synthetic
7,112,5,2023-10-06,synthetic
8,103,10,2023-10-12,synthetic
8,106,8,2023-10-13,synthetic
8,113,7,2023-10-04,synthetic
8,114,7,2023-10-05,synthetic
8,115,5,2023-10-06,synthetic
8,116,4,2023-10-07,synthetic
9,102,9,2023-10-13,synthetic
9,105,7,2023-10-04,synthetic
9,107,6,2023-10-05,synthetic
9,108,6,2023-10-06,synthetic
9,117,6,2023-10-07,synthetic
9,118,3,2023-10-08,synthetic
9,101,2,2023-10-14,synthetic
10,101,10,2023-10-04,synthetic
10,104,9,2023-10-05,synthetic
10,109,6,2023-10-06,synthetic
10,110,6,2023-10-07,synthetic
10,111,4,2023-10-08,synthetic
10,112,5,2023-10-09,synthetic
11,103,10,2023-10-05,synthetic
11,106,8,2023-10-06,synthetic
11,113,6,2023-10-07,synthetic
11,114,7,2023-10-08,synthetic
11,115,5,2023-10-09,synthetic
11,116,5,2023-10-10,synthetic
12,102,10,2023-10-06,synthetic
12,105,9,2023-10-07,synthetic
12,107,8,2023-10-08,synthetic
12,108,5,2023-10-09,synthetic
12,117,5,2023-10-10,synthetic
12,118,4,2023-10-11,synthetic
12,101,2,2023-10-14,synthetic
13,101,9,2023-10-07,synthetic
13,104,7,2023-10-08,synthetic
13,109,7,2023-10-09,synthetic
13,110,5,2023-10-10,synthetic
13,111,6,2023-10-11,synthetic
13,112,5,2023-10-12,synthetic
